Total_interactions,Post_weekday,Share,Like
274,6,42.0,226.0
300,5,51.0,238.0
823,5,58.0,755.0
85,4,8.0,47.0
160,4,32.0,126.0
118,3,10.0,104.0
203,3,26.0,167.0
202,2,41.0,152.0
143,2,15.0,128.0
290,1,43.0,234.0
79,1,16.0,61.0
75,7,9.0,66.0
596,7,60.0,529.0
55,6,10.0,42.0
101,6,24.0,75.0
87,5,13.0,61.0
195,5,7.0,162.0
53,4,4.0,47.0
730,4,28.0,696.0
269,3,47.0,215.0
587,3,31.0,534.0
171,4,27.0,143.0
71,4,7.0,46.0
148,3,14.0,98.0
30,3,5.0,25.0
271,2,44.0,204.0
218,2,5.0,202.0
194,2,39.0,148.0
49,1,8.0,40.0
89,1,17.0,71.0
117,7,13.0,104.0
39,7,4.0,34.0
152,6,12.0,129.0
94,6,18.0,72.0
18,5,3.0,15.0
125,4,9.0,102.0
605,4,33.0,469.0
67,4,5.0,57.0
25,4,2.0,23.0
172,4,26.0,141.0
24,3,5.0,19.0
95,3,23.0,71.0
93,2,21.0,72.0
66,2,7.0,54.0
117,1,19.0,93.0
72,1,10.0,62.0
94,7,16.0,78.0
15,7,1.0,14.0
285,6,43.0,231.0
89,6,16.0,72.0
234,5,28.0,197.0
363,5,29.0,330.0
155,4,7.0,148.0
238,4,28.0,208.0
188,3,28.0,148.0
184,3,26.0,154.0
163,2,18.0,142.0
135,2,20.0,107.0
25,1,3.0,22.0
99,1,13.0,84.0
73,7,12.0,59.0
82,7,14.0,65.0
28,6,4.0,24.0
218,6,23.0,186.0
75,5,17.0,58.0
90,5,14.0,74.0
226,4,44.0,180.0
235,4,49.0,168.0
41,3,5.0,36.0
59,2,6.0,51.0
83,2,14.0,67.0
1439,1,47.0,1372.0
65,1,6.0,57.0
45,1,10.0,33.0
97,7,17.0,79.0
122,5,22.0,97.0
691,4,58.0,617.0
180,4,34.0,139.0
251,3,32.0,199.0
134,3,26.0,107.0
60,2,10.0,50.0
84,2,20.0,64.0
67,1,10.0,55.0
180,7,37.0,142.0
83,6,9.0,72.0
99,6,16.0,79.0
313,5,44.0,244.0
390,4,58.0,307.0
254,4,36.0,212.0
114,3,17.0,95.0
232,2,33.0,194.0
136,1,29.0,101.0
63,1,14.0,46.0
179,7,20.0,156.0
948,7,90.0,821.0
72,6,13.0,58.0
190,6,23.0,155.0
1806,5,122.0,1639.0
190,5,32.0,155.0
203,4,33.0,166.0
255,4,39.0,210.0
429,3,25.0,400.0
118,2,18.0,98.0
188,2,38.0,138.0
167,1,16.0,148.0
309,1,40.0,267.0
174,7,29.0,144.0
335,7,54.0,256.0
99,6,24.0,72.0
105,6,18.0,87.0
166,5,36.0,129.0
210,4,30.0,179.0
236,3,33.0,194.0
157,3,32.0,124.0
355,2,47.0,304.0
189,2,39.0,138.0
54,1,9.0,41.0
200,7,35.0,163.0
528,6,76.0,407.0
587,6,123.0,447.0
56,5,11.0,38.0
121,5,26.0,93.0
75,4,16.0,59.0
316,4,30.0,286.0
79,3,13.0,66.0
295,2,51.0,236.0
165,2,11.0,152.0
2177,1,128.0,1998.0
212,7,18.0,186.0
280,6,34.0,235.0
87,6,22.0,64.0
122,6,28.0,92.0
69,5,13.0,53.0
183,5,38.0,140.0
56,4,8.0,48.0
126,3,14.0,112.0
40,3,5.0,35.0
44,2,3.0,37.0
62,2,14.0,48.0
881,1,109.0,766.0
115,1,18.0,96.0
71,7,13.0,57.0
138,7,21.0,114.0
58,6,6.0,51.0
115,6,27.0,87.0
97,5,11.0,81.0
90,5,18.0,71.0
225,4,52.0,164.0
122,4,26.0,91.0
376,3,38.0,329.0
149,3,17.0,128.0
420,2,40.0,379.0
77,1,24.0,52.0
90,7,26.0,63.0
124,7,25.0,97.0
67,6,9.0,56.0
44,6,7.0,36.0
168,5,26.0,138.0
173,5,24.0,142.0
91,4,15.0,75.0
104,4,14.0,89.0
81,5,16.0,63.0
208,4,29.0,176.0
249,4,15.0,227.0
34,3,6.0,25.0
0,3,0.0,0.0
39,3,11.0,27.0
53,3,14.0,39.0
74,2,13.0,61.0
39,2,7.0,32.0
2,1,0.0,2.0
120,1,3.0,109.0
38,1,6.0,32.0
85,1,15.0,68.0
7,7,1.0,6.0
230,7,13.0,213.0
2,7,0.0,2.0
3,7,0.0,3.0
6,7,0.0,6.0
4,7,0.0,4.0
5,6,1.0,4.0
237,6,14.0,211.0
17,6,1.0,15.0
110,6,4.0,95.0
143,6,0.0,127.0
149,6,13.0,136.0
49,6,15.0,32.0
86,6,9.0,76.0
36,5,7.0,28.0
0,5,0.0,0.0
771,4,97.0,664.0
73,2,10.0,62.0
68,2,20.0,48.0
63,1,7.0,55.0
228,1,21.0,197.0
118,7,24.0,88.0
67,7,6.0,59.0
266,6,26.0,234.0
172,6,21.0,148.0
125,5,29.0,96.0
68,5,15.0,49.0
128,4,27.0,98.0
282,4,70.0,198.0
217,3,53.0,159.0
29,3,6.0,22.0
178,3,18.0,154.0
165,2,32.0,128.0
163,2,32.0,129.0
1873,1,181.0,1546.0
95,1,11.0,79.0
311,7,78.0,214.0
176,7,34.0,134.0
313,6,36.0,268.0
170,6,38.0,128.0
71,5,21.0,47.0
238,5,37.0,200.0
305,4,36.0,264.0
264,4,61.0,193.0
131,3,13.0,114.0
224,3,57.0,160.0
61,2,15.0,46.0
182,2,42.0,136.0
86,1,13.0,73.0
84,6,19.0,65.0
633,6,47.0,579.0
107,6,5.0,101.0
106,5,31.0,74.0
127,5,36.0,84.0
515,4,99.0,360.0
7,4,2.0,5.0
226,3,36.0,187.0
97,3,26.0,69.0
108,2,24.0,82.0
14,2,2.0,12.0
83,1,25.0,56.0
66,1,21.0,44.0
378,7,80.0,277.0
103,7,28.0,74.0
110,6,30.0,79.0
152,6,46.0,105.0
137,5,9.0,128.0
257,1,55.0,185.0
176,7,41.0,125.0
84,7,26.0,53.0
75,5,22.0,53.0
115,5,18.0,93.0
136,4,38.0,91.0
119,4,28.0,91.0
